Sl. No.,State/ UT Name,*Mobile Medical Units (MMUs) Operational
1,Bihar,7
2,Chhattisgarh,0
3,Himachal Pradesh,0
4,Jammu & Kashmir,11
5,Jharkhand,94
6,Madhya Pradesh,74
7,Odisha,0
8,Rajasthan,202
9,Uttar Pradesh,0
10,Uttarakhand,6
11,Arunachal Pradesh,16
12,Assam,50
13,Manipur,9
14,Meghalaya,4
15,Mizoram,9
16,Nagaland,11
17,Sikkim,4
18,Tripura,4
19,Andhra Pradesh,277
20,Goa,0
21,Gujarat,67
22,Haryana,9
23,Karnataka,12
24,Kerala,25
25,Maharashtra,40
26,Punjab,33
27,Tamil Nadu,407
28,Telangana,0
29,West Bengal,52
30,Andaman & Nicobar Islands,0
31,Chandigarh,0
32,Dadra & Nagar Haveli,1
33,Daman & Diu,0
34,Delhi,0
35,Lakshadweep,0
36,Puducherry,4
Total,Total,1428
